date,series,mae,mape_pct,bias
2025-02-01,load_median7,2007.7384090277778,62.122487630718425,2007.373547916667
2025-02-01,load_level_shape,221.80939228819813,7.198058933843796,212.66333124999994
2025-02-01,pv_median3,74.22177500000004,2.306917128112436,16.72792916666665
2025-02-01,pv_median7,63.0248027777778,2.4008180149442455,-26.300690277777793
2025-02-02,load_median7,150.53494097222224,3.1510488731567357,115.85737986111108
2025-02-02,load_level_shape,203.97140128820348,4.241905363991644,197.75896493055507
2025-02-02,pv_median3,66.44121180555557,2.0115367532272073,-59.14717708333337
2025-02-02,pv_median7,90.04639305555558,2.9503511765225094,-85.91702638888891
2025-02-03,load_median7,112.37784097222229,2.3778012626596396,31.881740972222197
2025-02-03,load_level_shape,178.46312780376346,3.7437137076354485,170.51704722222172
2025-02-03,pv_median3,83.63322430555556,2.90431859636427,10.24723680555555
2025-02-03,pv_median7,78.05875069444444,3.1459930339237787,-5.993834027777786
2025-02-04,load_median7,117.65356319444443,2.4660302311360778,42.39542569444445
2025-02-04,load_level_shape,228.1493229640073,4.82136660491089,213.91407048611097
2025-02-04,pv_median3,119.44879652777779,3.5584788748402936,99.4961423611111
2025-02-04,pv_median7,106.70198541666667,3.5081099646801754,77.76378125
2025-02-05,load_median7,105.98469791666668,2.1892699842743264,-21.17868541666663
2025-02-05,load_level_shape,204.3997833579257,4.084416151186524,196.03581319444433
2025-02-05,pv_median3,111.38961180555555,3.530586588515884,45.74964930555557
2025-02-05,pv_median7,87.47449027777778,3.3624905727251493,45.73269444444446
2025-02-06,load_median7,126.44671736111114,2.7190893351268364,-53.149350694444465
2025-02-06,load_level_shape,198.32922716327786,4.188084906647157,189.81672847222248
2025-02-06,pv_median3,80.16141875000004,2.971478233469525,-35.12462430555555
2025-02-06,pv_median7,73.62426944444445,3.3990129098071584,0.338118055555545
2025-02-07,load_median7,1853.3382930555554,57.40862710153718,1853.3382930555554
2025-02-07,load_level_shape,208.05184197472343,6.659820644879957,196.14496944444463
2025-02-07,pv_median3,160.00171458333332,4.094705535271912,-131.89002013888887
2025-02-07,pv_median7,159.76228055555555,5.204455766470206,-104.94063194444442
2025-02-08,load_median7,1870.913685416667,58.22186705537796,1870.913685416667
2025-02-08,load_level_shape,234.9075236795396,7.704594117115159,227.55291597222202
2025-02-08,pv_median3,137.80822777777783,4.019347731232522,-93.92763472222222
2025-02-08,pv_median7,112.01319166666669,4.693876373059239,-77.65721111111112
2025-02-09,load_median7,104.55280972222224,2.178363121378868,-37.54795555555557
2025-02-09,load_level_shape,203.25251079787444,4.193586870657302,201.5477118055545
2025-02-09,pv_median3,127.38049861111115,4.095764345510991,50.33323194444446
2025-02-09,pv_median7,110.02409861111113,4.734120761219939,22.80984861111113
2025-02-10,load_median7,109.37840694444442,2.312662879987586,-32.39755277777775
2025-02-10,load_level_shape,221.89648694994992,4.522014543397625,212.0042347222224
2025-02-10,pv_median3,162.2543819444444,4.121589690393771,-159.07087777777775
2025-02-10,pv_median7,210.61257708333335,5.907813054168663,-210.37004930555557
2025-02-11,load_median7,96.53543958333333,2.0226952576636545,-37.63186597222224
2025-02-11,load_level_shape,216.08399191394676,4.527147110662804,210.63872152777776
2025-02-11,pv_median3,88.93220763888888,2.6098975810003604,-66.38869513888886
2025-02-11,pv_median7,152.24200347222222,4.715480213260806,-152.24200347222222
2025-02-12,load_median7,95.05940763888891,1.9723636842078105,-35.37879652777779
2025-02-12,load_level_shape,225.87959834669226,4.650384652741952,221.82972361111058
2025-02-12,pv_median3,70.1937972222222,2.188541610211842,-15.67025138888887
2025-02-12,pv_median7,117.27508124999996,3.8209639058378793,-94.48619236111107
2025-02-13,load_median7,114.60203958333335,2.5875028927742862,-41.66653958333335
2025-02-13,load_level_shape,222.68855847875193,4.50173110300701,219.63808125000017
2025-02-13,pv_median3,157.23318333333336,4.235697345974156,-150.14138194444448
2025-02-13,pv_median7,214.69392430555556,5.872081620006288,-209.96203263888887
2025-02-14,load_median7,1848.0933631944447,57.25286171488928,1848.0933631944447
2025-02-14,load_level_shape,203.02833901333042,6.480838600321633,197.29866666666717
2025-02-14,pv_median3,108.66414513888888,2.6986633680741208,44.004222916666635
2025-02-14,pv_median7,114.32713055555554,3.541373299490494,-11.278716666666664
2025-02-15,load_median7,1841.3917951388887,56.810010364822226,1840.5136006944444
2025-02-15,load_level_shape,211.42253557992535,6.789155684723497,202.72952673611138
2025-02-15,pv_median3,80.15786111111112,2.00710915572407,21.67744583333332
2025-02-15,pv_median7,81.09547916666668,2.870775266322424,-29.461994444444443
2025-02-16,load_median7,107.53654513888888,2.2620788763291544,-43.585775694444436
2025-02-16,load_level_shape,212.48972539560617,4.339888860833366,209.20708958333205
2025-02-16,pv_median3,84.61390902777778,2.1510953450680166,40.8966034722222
